Comment,Designator,Footprint,LCSC
0.1u,"C1,C10,C11,C12,C13,C14,C15,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C14445
Reset Button,RST1,SW_Push_SPST_NO_Alps_SKRK,C231329
SK6812MINI,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9",Led,C5149201
CHOC,"CHOC1,CHOC10,CHOC11,CHOC12,CHOC13,CHOC14,CHOC15,CHOC2,CHOC3,CHOC4,CHOC5,CHOC6,CHOC7,CHOC8,CHOC9",ChocHotSwap,C5333465
D_Small,"D1,D10,D11,D12,D13,D14,D15,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C83528
SW_DPDT_x2,SW13,PCM12_dip_switch,C963206
